module_code,module_name,coordinator,year,semester,category,skill_name,level
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Geographical Information Systems (GIS),1
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Graphic Design,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Modelling,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Presentation Software,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Remote Meeting/Collaborative Software,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Remote Sensing (data collection and analysis),0
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Social Media,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Spreadsheet Creation and Management,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Statistical Programmes,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Word Processing,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Application of Remote Observations,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Conducting Transects,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Core Skills,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Drone Observations,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Environmental Impact Assessment,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,GPS Usage,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Health and Safety Competency,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Mapping Skills,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Sampling: In-situ Monitoring,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Sampling: Physical Collection,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,field,Species Monitoring,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Accurate Result Reporting,1
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Air Quality Analysis,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Chemical Handling,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Developing and Implementing SOPs,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Good Laboratory Practices (GLP),0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Maintaining Lab Notebooks,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Microscopy,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Operating Lab Equipment,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Physical Chemical Analysis,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Pipetting,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Risk Assessments,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Sample Preparation and Handling,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Soil Quality Assessment,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,lab,Water Quality Assessment,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Adaptability,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Verbal Communication,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Written Communication,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Conflict Resolution,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Critical Thinking,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Detail-Orientated Skills,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Innovation,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Integrated Problem-solving,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Interpersonal Skills,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Leadership,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Reliability,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Resourcefulness,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Self-awareness,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Self-motivation,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Teamwork & Collaboration,3
ENVU9FC,International Field Course,Zarah Pattison,3,6,personal,Time Management,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,AI (generative) Competency,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Computer Programming,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Data Management,2
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Effective Email Communication,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Geographical Information Systems (GIS),0
